metric_row_index,comparability_family,experiment_id,experiment_name,source_section,condition,condition_label,metric_name,metric_value,sample_count,sample_unit,relevance_type,candidate_or_gallery_count,anchor_id,directly_comparable_within_family,source_summary_path
0,global_exact_retrieval,E1,global_retrieval_v2,overall_metrics,openclip,OpenCLIP,recall_at_1,0.235714285714,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/global_openclip_v2/resumen_global_openclip_v2.json
1,global_exact_retrieval,E1,global_retrieval_v2,overall_metrics,openclip,OpenCLIP,recall_at_5,0.825000000000,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/global_openclip_v2/resumen_global_openclip_v2.json
2,global_exact_retrieval,E1,global_retrieval_v2,overall_metrics,openclip,OpenCLIP,mrr,0.462076240385,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/global_openclip_v2/resumen_global_openclip_v2.json
3,global_exact_retrieval,E1,global_retrieval_v2,overall_metrics,openclip,OpenCLIP,ndcg_at_10,0.581308470730,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/global_openclip_v2/resumen_global_openclip_v2.json
4,global_exact_retrieval,E1,global_retrieval_v2,overall_metrics,openclip,OpenCLIP,positive_margin,-0.019934443651,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/global_openclip_v2/resumen_global_openclip_v2.json
5,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip,OpenCLIP,recall_at_1,0.235714285714,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
6,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip,OpenCLIP,recall_at_5,0.825000000000,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
7,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip,OpenCLIP,mrr,0.462076240384,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
8,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip,OpenCLIP,ndcg_at_10,0.581308470730,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
9,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip,OpenCLIP,positive_margin,-0.019934443650,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
10,global_exact_retrieval,E3,baseline_comparison,overall_metrics,random,Aleatorio,recall_at_1,0.014285714286,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
11,global_exact_retrieval,E3,baseline_comparison,overall_metrics,random,Aleatorio,recall_at_5,0.089285714286,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
12,global_exact_retrieval,E3,baseline_comparison,overall_metrics,random,Aleatorio,mrr,0.081401334995,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
13,global_exact_retrieval,E3,baseline_comparison,overall_metrics,random,Aleatorio,ndcg_at_10,0.081923479212,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
14,global_exact_retrieval,E3,baseline_comparison,overall_metrics,random,Aleatorio,positive_margin,-0.481663686403,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
15,global_exact_retrieval,E3,baseline_comparison,overall_metrics,color_histogram,Histograma HSV,recall_at_1,0.125000000000,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
16,global_exact_retrieval,E3,baseline_comparison,overall_metrics,color_histogram,Histograma HSV,recall_at_5,0.625000000000,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
17,global_exact_retrieval,E3,baseline_comparison,overall_metrics,color_histogram,Histograma HSV,mrr,0.339732142857,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
18,global_exact_retrieval,E3,baseline_comparison,overall_metrics,color_histogram,Histograma HSV,ndcg_at_10,0.494183064513,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
19,global_exact_retrieval,E3,baseline_comparison,overall_metrics,color_histogram,Histograma HSV,positive_margin,-0.270888192313,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/baselines_v2/resumen_baselines_v2.json
20,global_exact_retrieval,E4,color_ablations,exact_overall_metrics,original_image_full_caption,Imagen original + caption completo,recall_at_1,0.235714285714,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
21,global_exact_retrieval,E4,color_ablations,exact_overall_metrics,original_image_full_caption,Imagen original + caption completo,recall_at_5,0.825000000000,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
22,global_exact_retrieval,E4,color_ablations,exact_overall_metrics,original_image_full_caption,Imagen original + caption completo,mrr,0.462076240384,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
23,global_exact_retrieval,E4,color_ablations,exact_overall_metrics,original_image_full_caption,Imagen original + caption completo,ndcg_at_10,0.581308470730,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
24,global_exact_retrieval,E4,color_ablations,exact_overall_metrics,original_image_full_caption,Imagen original + caption completo,positive_margin,-0.019934443650,280,caption_query,single_exact_image,56,original_openclip_exact,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
25,global_exact_retrieval,E4,color_ablations,exact_overall_metrics,grayscale_image_full_caption,Imagen en gris + caption completo,recall_at_1,0.085714285714,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
26,global_exact_retrieval,E4,color_ablations,exact_overall_metrics,grayscale_image_full_caption,Imagen en gris + caption completo,recall_at_5,0.314285714286,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
27,global_exact_retrieval,E4,color_ablations,exact_overall_metrics,grayscale_image_full_caption,Imagen en gris + caption completo,mrr,0.207080297046,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
28,global_exact_retrieval,E4,color_ablations,exact_overall_metrics,grayscale_image_full_caption,Imagen en gris + caption completo,ndcg_at_10,0.251120969549,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
29,global_exact_retrieval,E4,color_ablations,exact_overall_metrics,grayscale_image_full_caption,Imagen en gris + caption completo,positive_margin,-0.029347227727,280,caption_query,single_exact_image,56,,true,results/v2/evaluacion/ablaciones_v2/resumen_ablaciones_v2.json
30,hard_negative_forced_choice,E2,hard_negative_forced_choice,overall_metrics,openclip_hard_negatives,OpenCLIP con negativos difíciles,recall_at_1,0.517857142857,56,image_query,one_positive_among_five_candidates,5,,true,results/v2/evaluacion/hard_negatives_openclip_v2/resumen_hard_negatives_openclip_v2.json
31,hard_negative_forced_choice,E2,hard_negative_forced_choice,overall_metrics,openclip_hard_negatives,OpenCLIP con negativos difíciles,recall_at_5,1.000000000000,56,image_query,one_positive_among_five_candidates,5,,true,results/v2/evaluacion/hard_negatives_openclip_v2/resumen_hard_negatives_openclip_v2.json
32,hard_negative_forced_choice,E2,hard_negative_forced_choice,overall_metrics,openclip_hard_negatives,OpenCLIP con negativos difíciles,mrr,0.729166666667,56,image_query,one_positive_among_five_candidates,5,,true,results/v2/evaluacion/hard_negatives_openclip_v2/resumen_hard_negatives_openclip_v2.json
33,hard_negative_forced_choice,E2,hard_negative_forced_choice,overall_metrics,openclip_hard_negatives,OpenCLIP con negativos difíciles,ndcg_at_10,0.798675103763,56,image_query,one_positive_among_five_candidates,5,,true,results/v2/evaluacion/hard_negatives_openclip_v2/resumen_hard_negatives_openclip_v2.json
34,hard_negative_forced_choice,E2,hard_negative_forced_choice,overall_metrics,openclip_hard_negatives,OpenCLIP con negativos difíciles,positive_margin,-0.001821958593,56,image_query,one_positive_among_five_candidates,5,,true,results/v2/evaluacion/hard_negatives_openclip_v2/resumen_hard_negatives_openclip_v2.json
35,hard_negative_forced_choice,E2,hard_negative_forced_choice,overall_metrics,openclip_hard_negatives,OpenCLIP con negativos difíciles,hard_negative_accuracy,0.517857142857,56,image_query,one_positive_among_five_candidates,5,,true,results/v2/evaluacion/hard_negatives_openclip_v2/resumen_hard_negatives_openclip_v2.json
36,hard_negative_forced_choice,E2,hard_negative_forced_choice,overall_metrics,openclip_hard_negatives,OpenCLIP con negativos difíciles,mean_paired_difference,0.025734035431,56,image_query,one_positive_among_five_candidates,5,,true,results/v2/evaluacion/hard_negatives_openclip_v2/resumen_hard_negatives_openclip_v2.json
37,hard_negative_forced_choice,E2,hard_negative_forced_choice,overall_metrics,openclip_hard_negatives,OpenCLIP con negativos difíciles,pairwise_win_rate,0.834821428571,56,image_query,one_positive_among_five_candidates,5,,true,results/v2/evaluacion/hard_negatives_openclip_v2/resumen_hard_negatives_openclip_v2.json
