raw_row_index,condition,image_variant,text_variant,condition_query_index,group_index,group_query_index,query_id,source_id,text_row_index,colorless_caption_id,structure_id,template_id,is_canonical,regime,pattern_id,motif,orientation,composition,symmetry,relevant_count,first_relevant_rank,top1_image_id,top1_score,best_relevant_score,best_nonrelevant_score,best_relevant_margin,structural_hit_at_1,structural_hit_at_5,structural_fractional_recall_at_5,structural_mrr,structural_ndcg_at_10
0,original_image_full_caption,original,full_caption,0,0,0,CAP-V2_001-TPL_01,positivos,0,SCAP-A3FE31524DCA0243-TPL_01,STR-A3FE31524DCA0243,TPL_01,true,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,3,V2_011,0.351894617081,0.337622284889,0.351894617081,-0.014272332191,0.000000000000,1.000000000000,0.142857142857,0.333333333333,0.299641267195
1,original_image_full_caption,original,full_caption,1,1,0,CAP-V2_001-TPL_02,positivos,1,SCAP-A3FE31524DCA0243-TPL_02,STR-A3FE31524DCA0243,TPL_02,false,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,3,V2_011,0.332195222378,0.310213267803,0.332195222378,-0.021981954575,0.000000000000,1.000000000000,0.142857142857,0.333333333333,0.216895245890
2,original_image_full_caption,original,full_caption,2,2,0,CAP-V2_001-TPL_03,positivos,2,SCAP-A3FE31524DCA0243-TPL_03,STR-A3FE31524DCA0243,TPL_03,false,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,3,V2_026,0.330970823765,0.309555828571,0.330970823765,-0.021414995193,0.000000000000,1.000000000000,0.142857142857,0.333333333333,0.137438166457
3,original_image_full_caption,original,full_caption,3,3,0,CAP-V2_001-TPL_04,positivos,3,SCAP-A3FE31524DCA0243-TPL_04,STR-A3FE31524DCA0243,TPL_04,false,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,2,V2_011,0.316889196634,0.306454926729,0.316889196634,-0.010434269905,0.000000000000,1.000000000000,0.142857142857,0.500000000000,0.347799122598
4,original_image_full_caption,original,full_caption,4,4,0,CAP-V2_001-TPL_05,positivos,4,SCAP-A3FE31524DCA0243-TPL_05,STR-A3FE31524DCA0243,TPL_05,false,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,1,V2_001,0.340648949146,0.340648949146,0.333902537823,0.006746411324,1.000000000000,1.000000000000,0.142857142857,1.000000000000,0.361590161408
5,original_image_full_caption,original,full_caption,5,0,1,CAP-V2_002-TPL_01,positivos,5,SCAP-A3FE31524DCA0243-TPL_01,STR-A3FE31524DCA0243,TPL_01,true,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,1,V2_002,0.365009844303,0.365009844303,0.362096548080,0.002913296223,1.000000000000,1.000000000000,0.142857142857,1.000000000000,0.274876332914
6,original_image_full_caption,original,full_caption,6,1,1,CAP-V2_002-TPL_02,positivos,6,SCAP-A3FE31524DCA0243-TPL_02,STR-A3FE31524DCA0243,TPL_02,false,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,2,V2_027,0.353697896004,0.342582523823,0.353697896004,-0.011115372181,0.000000000000,1.000000000000,0.142857142857,0.500000000000,0.173427656988
7,original_image_full_caption,original,full_caption,7,2,1,CAP-V2_002-TPL_03,positivos,7,SCAP-A3FE31524DCA0243-TPL_03,STR-A3FE31524DCA0243,TPL_03,false,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,3,V2_027,0.357337445021,0.337379783392,0.357337445021,-0.019957661629,0.000000000000,1.000000000000,0.142857142857,0.333333333333,0.137438166457
8,original_image_full_caption,original,full_caption,8,3,1,CAP-V2_002-TPL_04,positivos,8,SCAP-A3FE31524DCA0243-TPL_04,STR-A3FE31524DCA0243,TPL_04,false,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,1,V2_002,0.321057319641,0.321057319641,0.319630086422,0.001427233219,1.000000000000,1.000000000000,0.142857142857,1.000000000000,0.274876332914
9,original_image_full_caption,original,full_caption,9,4,1,CAP-V2_002-TPL_05,positivos,9,SCAP-A3FE31524DCA0243-TPL_05,STR-A3FE31524DCA0243,TPL_05,false,base_pattern,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,7,1,V2_002,0.359454244375,0.359454244375,0.344346761703,0.015107482672,1.000000000000,1.000000000000,0.142857142857,1.000000000000,0.274876332914
