text_row_index,text_id,text_sha256,usage_count,first_source_id,first_record_id,text
0,TXT-0001,84e939eafb084dff790f0fdfd595d80103765300bc417b615c202737f4f6129c,3,positivos,CAP-V2_001-TPL_01,"Patrón geométrico sintético con paleta rojo oscuro, negro y crema; con bandas geométricas como motivo principal; orientación horizontal; composición en bandas; simetría repetitiva."
1,TXT-0002,427e2b76f2970447a3d4dc73b6daa77b086849bee2cfe23117d887eea41ff31f,1,positivos,CAP-V2_001-TPL_02,"Imagen abstracta en colores rojo oscuro, negro y crema, formada por bandas geométricas, con orientación horizontal, composición en bandas y simetría repetitiva."
2,TXT-0003,d3c2186a22d5e327cb9dbd542679b27e582b97c984175a675a6c260be1cbe9b5,1,positivos,CAP-V2_001-TPL_03,"Diseño de composición en bandas que muestra bandas geométricas, orientación horizontal, simetría repetitiva y una paleta rojo oscuro, negro y crema."
3,TXT-0004,e9295bcc3d693f9d516878410aab92abc79b7790c2ea9630184cd024d8b22116,1,positivos,CAP-V2_001-TPL_04,"Representación sintética de bandas geométricas; la orientación es horizontal, la composición es en bandas, la simetría es repetitiva y los colores son rojo oscuro, negro y crema."
4,TXT-0005,a504482ae05d01e341869cf68db9520aaf101ff40c3b8504d71927903afaf2a8,1,positivos,CAP-V2_001-TPL_05,"Textura geométrica con bandas geométricas, orientación horizontal, composición en bandas, simetría repetitiva y combinación cromática rojo oscuro, negro y crema."
5,TXT-0006,5b0e7814b78265de3ce0a1cadc203e184565520ce0344033ed23b1e852e9ec43,2,positivos,CAP-V2_002-TPL_01,"Patrón geométrico sintético con paleta azul profundo, crema y marrón; con bandas geométricas como motivo principal; orientación horizontal; composición en bandas; simetría repetitiva."
6,TXT-0007,4f1d08da34a4df2ca4388867039e313729a0ff853a35ab9332ce14514d44757c,1,positivos,CAP-V2_002-TPL_02,"Imagen abstracta en colores azul profundo, crema y marrón, formada por bandas geométricas, con orientación horizontal, composición en bandas y simetría repetitiva."
7,TXT-0008,31b45e7833d3cb1084f2a793c7f6d688c941295a5f734683b64326753c05a06c,1,positivos,CAP-V2_002-TPL_03,"Diseño de composición en bandas que muestra bandas geométricas, orientación horizontal, simetría repetitiva y una paleta azul profundo, crema y marrón."
8,TXT-0009,917581bfde27a3536b3a09b370f476a286977b80625d7b1c72385e9c96aadc25,1,positivos,CAP-V2_002-TPL_04,"Representación sintética de bandas geométricas; la orientación es horizontal, la composición es en bandas, la simetría es repetitiva y los colores son azul profundo, crema y marrón."
9,TXT-0010,575930601a498b1be1144fc3d1aa14baaa8fe022e18d3957382815894f1eb9ab,1,positivos,CAP-V2_002-TPL_05,"Textura geométrica con bandas geométricas, orientación horizontal, composición en bandas, simetría repetitiva y combinación cromática azul profundo, crema y marrón."
10,TXT-0011,58173b82a0b54909da8da67aeaf2bddb4e835cf84deb6c4fffec81e9e2b51c54,3,positivos,CAP-V2_003-TPL_01,"Patrón geométrico sintético con paleta ocre, marrón y negro; con bandas geométricas como motivo principal; orientación horizontal; composición en bandas; simetría repetitiva."
11,TXT-0012,8b0997dcdc2261646a6756e5fbf10b257750ccaf0e49c44b8ffe4bdf55272469,1,positivos,CAP-V2_003-TPL_02,"Imagen abstracta en colores ocre, marrón y negro, formada por bandas geométricas, con orientación horizontal, composición en bandas y simetría repetitiva."
12,TXT-0013,88b4c87a50701f0f1821d40f5264050cff54e514eaf95d932146660566689b9d,1,positivos,CAP-V2_003-TPL_03,"Diseño de composición en bandas que muestra bandas geométricas, orientación horizontal, simetría repetitiva y una paleta ocre, marrón y negro."
13,TXT-0014,2829446f0eafc5746f3a2509026813e19b4260a9c788ec9df6ba3ad59c36cb9a,1,positivos,CAP-V2_003-TPL_04,"Representación sintética de bandas geométricas; la orientación es horizontal, la composición es en bandas, la simetría es repetitiva y los colores son ocre, marrón y negro."
14,TXT-0015,711f82f194807f585e7cc30afc4ecd3139f4b7d07f86e0601c49f8e1bc62fa16,1,positivos,CAP-V2_003-TPL_05,"Textura geométrica con bandas geométricas, orientación horizontal, composición en bandas, simetría repetitiva y combinación cromática ocre, marrón y negro."
15,TXT-0016,edb688349ab3fb3842bd0b03e1317b202fa6f7b67f5590c5802ee1e069685283,3,positivos,CAP-V2_004-TPL_01,"Patrón geométrico sintético con paleta blanco, negro y gris; con bandas geométricas como motivo principal; orientación horizontal; composición en bandas; simetría repetitiva."
16,TXT-0017,d6fca232bdf7bf93a5b7090d73f0416f30b4d45d025e2b48623493903b74682c,1,positivos,CAP-V2_004-TPL_02,"Imagen abstracta en colores blanco, negro y gris, formada por bandas geométricas, con orientación horizontal, composición en bandas y simetría repetitiva."
