caption_id,image_id,semantic_id,structure_id,colorless_caption_id,template_id,is_canonical,split,pattern_id,palette_id,motif,orientation,composition,symmetry,caption_text,caption_sha256
CAP-V2_001-TPL_01,V2_001,SEM-726372BFFF43534D,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_01,TPL_01,true,id,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,"Patr?n geom?trico sint?tico con paleta rojo oscuro, negro y crema; con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.",b74a6d3ec6150ff6d03945543b32dd593a6ad127fb6fe211c4c03fba11e9237b
CAP-V2_001-TPL_02,V2_001,SEM-726372BFFF43534D,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_02,TPL_02,false,id,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,"Imagen abstracta en colores rojo oscuro, negro y crema, formada por bandas geométricas, con orientación horizontal, composición en bandas y simetría repetitiva.",427e2b76f2970447a3d4dc73b6daa77b086849bee2cfe23117d887eea41ff31f
CAP-V2_001-TPL_03,V2_001,SEM-726372BFFF43534D,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_03,TPL_03,false,id,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,"Diseño de composición en bandas que muestra bandas geométricas, orientación horizontal, simetría repetitiva y una paleta rojo oscuro, negro y crema.",d3c2186a22d5e327cb9dbd542679b27e582b97c984175a675a6c260be1cbe9b5
CAP-V2_001-TPL_04,V2_001,SEM-726372BFFF43534D,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_04,TPL_04,false,id,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,"Representación sintética de bandas geométricas; la orientación es horizontal, la composición es en bandas, la simetría es repetitiva y los colores son rojo oscuro, negro y crema.",e9295bcc3d693f9d516878410aab92abc79b7790c2ea9630184cd024d8b22116
CAP-V2_001-TPL_05,V2_001,SEM-726372BFFF43534D,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_05,TPL_05,false,id,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,"Textura geométrica con bandas geométricas, orientación horizontal, composición en bandas, simetría repetitiva y combinación cromática rojo oscuro, negro y crema.",a504482ae05d01e341869cf68db9520aaf101ff40c3b8504d71927903afaf2a8
CAP-V2_002-TPL_01,V2_002,SEM-5B84448A62787787,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_01,TPL_01,true,id,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,"Patr?n geom?trico sint?tico con paleta azul profundo, crema y marrón; con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.",81414cdbd8d30b5d1a14c8cb543f615165537148a763ca87542cb7be5c88010d
CAP-V2_002-TPL_02,V2_002,SEM-5B84448A62787787,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_02,TPL_02,false,id,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,"Imagen abstracta en colores azul profundo, crema y marrón, formada por bandas geométricas, con orientación horizontal, composición en bandas y simetría repetitiva.",4f1d08da34a4df2ca4388867039e313729a0ff853a35ab9332ce14514d44757c
CAP-V2_002-TPL_03,V2_002,SEM-5B84448A62787787,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_03,TPL_03,false,id,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,"Diseño de composición en bandas que muestra bandas geométricas, orientación horizontal, simetría repetitiva y una paleta azul profundo, crema y marrón.",31b45e7833d3cb1084f2a793c7f6d688c941295a5f734683b64326753c05a06c
CAP-V2_002-TPL_04,V2_002,SEM-5B84448A62787787,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_04,TPL_04,false,id,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,"Representación sintética de bandas geométricas; la orientación es horizontal, la composición es en bandas, la simetría es repetitiva y los colores son azul profundo, crema y marrón.",917581bfde27a3536b3a09b370f476a286977b80625d7b1c72385e9c96aadc25
CAP-V2_002-TPL_05,V2_002,SEM-5B84448A62787787,STR-A3FE31524DCA0243,SCAP-A3FE31524DCA0243-TPL_05,TPL_05,false,id,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,"Textura geométrica con bandas geométricas, orientación horizontal, composición en bandas, simetría repetitiva y combinación cromática azul profundo, crema y marrón.",575930601a498b1be1144fc3d1aa14baaa8fe022e18d3957382815894f1eb9ab
