image_id,image_path,caption_1,caption_2,caption_3,caption_4,caption_5,paleta,composicion,motivo,simetria,nivel_ambiguedad,observacion
T001,data/images/T001.png,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta rojo, negro, crema.","Imagen generada de inspiracion textil con bandas geometricas, organizacion horizontal y simetria repetitiva.","Diseno geometrico generado con paleta rojo, negro, crema, estructura horizontal y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion horizontal y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",rojo_negro_crema,horizontal,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T002,data/images/T002.png,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta azul, crema, marron.","Imagen generada de inspiracion textil con bandas geometricas, organizacion vertical y simetria repetitiva.","Diseno geometrico generado con paleta azul, crema, marron, estructura vertical y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion vertical y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",azul_crema_marron,vertical,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T003,data/images/T003.png,"Patron textil generado con composicion central, motivos de rombos y paleta ocre, marron, negro.","Imagen generada de inspiracion textil con rombos, organizacion central y simetria bilateral.","Diseno geometrico generado con paleta ocre, marron, negro, estructura central y repeticion visual.","Patron sintetico con elementos de rombos, distribucion central y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria bilateral y nivel de ambiguedad medio.",ocre_marron_negro,central,rombos,bilateral,medio,Imagen generada por script para evaluacion academica controlada
T004,data/images/T004.png,"Patron textil generado con composicion modular, motivos de grecas escalonadas y paleta blanco, negro, gris.","Imagen generada de inspiracion textil con grecas escalonadas, organizacion modular y simetria repetitiva.","Diseno geometrico generado con paleta blanco, negro, gris, estructura modular y repeticion visual.","Patron sintetico con elementos de grecas escalonadas, distribucion modular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad medio.",blanco_negro_gris,modular,grecas escalonadas,repetitiva,medio,Imagen generada por script para evaluacion academica controlada
T005,data/images/T005.png,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta multicolor, tierra.","Imagen generada de inspiracion textil con cuadricula geometrica, organizacion reticular y simetria repetitiva.","Diseno geometrico generado con paleta multicolor, tierra, estructura reticular y repeticion visual.","Patron sintetico con elementos de cuadricula geometrica, distribucion reticular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",multicolor_tierra,reticular,cuadricula geometrica,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T006,data/images/T006.png,"Patron textil generado con composicion mixta, motivos de motivos geometricos combinados y paleta rojo, negro, crema.","Imagen generada de inspiracion textil con motivos geometricos combinados, organizacion mixta y simetria asimetrica.","Diseno geometrico generado con paleta rojo, negro, crema, estructura mixta y repeticion visual.","Patron sintetico con elementos de motivos geometricos combinados, distribucion mixta y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria asimetrica y nivel de ambiguedad alto.",rojo_negro_crema,mixta,motivos geometricos combinados,asimetrica,alto,Imagen generada por script para evaluacion academica controlada
T007,data/images/T007.png,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.","Imagen generada de inspiracion textil con bandas geometricas, organizacion horizontal y simetria repetitiva.","Diseno geometrico generado con paleta azul, crema, marron, estructura horizontal y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion horizontal y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",azul_crema_marron,horizontal,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T008,data/images/T008.png,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta ocre, marron, negro.","Imagen generada de inspiracion textil con bandas geometricas, organizacion vertical y simetria repetitiva.","Diseno geometrico generado con paleta ocre, marron, negro, estructura vertical y repeticion visual.","Patron sintetico con elementos de bandas geometricas, distribucion vertical y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad bajo.",ocre_marron_negro,vertical,bandas geometricas,repetitiva,bajo,Imagen generada por script para evaluacion academica controlada
T009,data/images/T009.png,"Patron textil generado con composicion central, motivos de rombos y paleta blanco, negro, gris.","Imagen generada de inspiracion textil con rombos, organizacion central y simetria bilateral.","Diseno geometrico generado con paleta blanco, negro, gris, estructura central y repeticion visual.","Patron sintetico con elementos de rombos, distribucion central y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria bilateral y nivel de ambiguedad medio.",blanco_negro_gris,central,rombos,bilateral,medio,Imagen generada por script para evaluacion academica controlada
T010,data/images/T010.png,"Patron textil generado con composicion modular, motivos de grecas escalonadas y paleta multicolor, tierra.","Imagen generada de inspiracion textil con grecas escalonadas, organizacion modular y simetria repetitiva.","Diseno geometrico generado con paleta multicolor, tierra, estructura modular y repeticion visual.","Patron sintetico con elementos de grecas escalonadas, distribucion modular y contraste cromatico visible.","Imagen de patron ornamental generado con rasgos geometricos, simetria repetitiva y nivel de ambiguedad medio.",multicolor_tierra,modular,grecas escalonadas,repetitiva,medio,Imagen generada por script para evaluacion academica controlada
