query_index,query_id,image_id,split,ambiguity_level,positive_candidate_id,negative_candidate_id,changed_attribute,negative_type,positive_score,negative_score,paired_difference,positive_above_negative
0,HNQ-V2_001,V2_001,id,bajo,HNC-V2_001-P02,HNC-V2_001-P01,motif,counterfactual_only,0.337622284889,0.342061758041,-0.004439473152,false
0,HNQ-V2_001,V2_001,id,bajo,HNC-V2_001-P02,HNC-V2_001-P03,orientation,global_overlap,0.337622284889,0.338100582361,-0.000478297472,false
0,HNQ-V2_001,V2_001,id,bajo,HNC-V2_001-P02,HNC-V2_001-P04,composition,counterfactual_only,0.337622284889,0.333545625210,0.004076659679,true
0,HNQ-V2_001,V2_001,id,bajo,HNC-V2_001-P02,HNC-V2_001-P05,symmetry,counterfactual_only,0.337622284889,0.331341505051,0.006280779839,true
1,HNQ-V2_002,V2_002,id,bajo,HNC-V2_002-P04,HNC-V2_002-P01,orientation,global_overlap,0.365009844303,0.364559739828,0.000450104475,true
1,HNQ-V2_002,V2_002,id,bajo,HNC-V2_002-P04,HNC-V2_002-P02,composition,counterfactual_only,0.365009844303,0.357358187437,0.007651656866,true
1,HNQ-V2_002,V2_002,id,bajo,HNC-V2_002-P04,HNC-V2_002-P03,symmetry,counterfactual_only,0.365009844303,0.361652255058,0.003357589245,true
1,HNQ-V2_002,V2_002,id,bajo,HNC-V2_002-P04,HNC-V2_002-P05,palette_id,global_overlap,0.365009844303,0.273289084435,0.091720759869,true
2,HNQ-V2_003,V2_003,id,bajo,HNC-V2_003-P01,HNC-V2_003-P02,composition,counterfactual_only,0.335728734732,0.327450931072,0.008277803659,true
2,HNQ-V2_003,V2_003,id,bajo,HNC-V2_003-P01,HNC-V2_003-P03,symmetry,counterfactual_only,0.335728734732,0.329077571630,0.006651163101,true
2,HNQ-V2_003,V2_003,id,bajo,HNC-V2_003-P01,HNC-V2_003-P04,palette_id,global_overlap,0.335728734732,0.199441611767,0.136287122965,true
2,HNQ-V2_003,V2_003,id,bajo,HNC-V2_003-P01,HNC-V2_003-P05,motif,counterfactual_only,0.335728734732,0.341003328562,-0.005274593830,false
3,HNQ-V2_004,V2_004,id,bajo,HNC-V2_004-P03,HNC-V2_004-P01,symmetry,counterfactual_only,0.313583195210,0.308584123850,0.004999071360,true
3,HNQ-V2_004,V2_004,id,bajo,HNC-V2_004-P03,HNC-V2_004-P02,palette_id,global_overlap,0.313583195210,0.201305955648,0.112277239561,true
3,HNQ-V2_004,V2_004,id,bajo,HNC-V2_004-P03,HNC-V2_004-P04,motif,counterfactual_only,0.313583195210,0.318920314312,-0.005337119102,false
3,HNQ-V2_004,V2_004,id,bajo,HNC-V2_004-P03,HNC-V2_004-P05,orientation,global_overlap,0.313583195210,0.316285490990,-0.002702295780,false
4,HNQ-V2_005,V2_005,id,bajo,HNC-V2_005-P05,HNC-V2_005-P01,palette_id,global_overlap,0.353165864944,0.272475302219,0.080690562725,true
4,HNQ-V2_005,V2_005,id,bajo,HNC-V2_005-P05,HNC-V2_005-P02,motif,counterfactual_only,0.353165864944,0.364490240812,-0.011324375868,false
4,HNQ-V2_005,V2_005,id,bajo,HNC-V2_005-P05,HNC-V2_005-P03,orientation,global_overlap,0.353165864944,0.350616455078,0.002549409866,true
4,HNQ-V2_005,V2_005,id,bajo,HNC-V2_005-P05,HNC-V2_005-P04,composition,counterfactual_only,0.353165864944,0.350895226002,0.002270638943,true
5,HNQ-V2_006,V2_006,id,bajo,HNC-V2_006-P03,HNC-V2_006-P01,orientation,counterfactual_only,0.351220697165,0.336569786072,0.014650911093,true
5,HNQ-V2_006,V2_006,id,bajo,HNC-V2_006-P03,HNC-V2_006-P02,composition,counterfactual_only,0.351220697165,0.344506353140,0.006714344025,true
5,HNQ-V2_006,V2_006,id,bajo,HNC-V2_006-P03,HNC-V2_006-P04,symmetry,counterfactual_only,0.351220697165,0.342948615551,0.008272081614,true
5,HNQ-V2_006,V2_006,id,bajo,HNC-V2_006-P03,HNC-V2_006-P05,motif,counterfactual_only,0.351220697165,0.341214597225,0.010006099939,true
6,HNQ-V2_007,V2_007,id,bajo,HNC-V2_007-P05,HNC-V2_007-P01,composition,counterfactual_only,0.357411265373,0.350085556507,0.007325708866,true
6,HNQ-V2_007,V2_007,id,bajo,HNC-V2_007-P05,HNC-V2_007-P02,symmetry,counterfactual_only,0.357411265373,0.353600293398,0.003810971975,true
6,HNQ-V2_007,V2_007,id,bajo,HNC-V2_007-P05,HNC-V2_007-P03,palette_id,global_overlap,0.357411265373,0.264316380024,0.093094885349,true
6,HNQ-V2_007,V2_007,id,bajo,HNC-V2_007-P05,HNC-V2_007-P04,orientation,counterfactual_only,0.357411265373,0.339079856873,0.018331408501,true
7,HNQ-V2_008,V2_008,id,bajo,HNC-V2_008-P02,HNC-V2_008-P01,symmetry,counterfactual_only,0.356800109148,0.349534779787,0.007265329361,true
7,HNQ-V2_008,V2_008,id,bajo,HNC-V2_008-P02,HNC-V2_008-P03,palette_id,global_overlap,0.356800109148,0.240525841713,0.116274267435,true
7,HNQ-V2_008,V2_008,id,bajo,HNC-V2_008-P02,HNC-V2_008-P04,motif,counterfactual_only,0.356800109148,0.357435762882,-0.000635653734,false
7,HNQ-V2_008,V2_008,id,bajo,HNC-V2_008-P02,HNC-V2_008-P05,composition,counterfactual_only,0.356800109148,0.346107035875,0.010693073273,true
8,HNQ-V2_009,V2_009,id,bajo,HNC-V2_009-P04,HNC-V2_009-P01,palette_id,global_overlap,0.327648013830,0.203769147396,0.123878866434,true
8,HNQ-V2_009,V2_009,id,bajo,HNC-V2_009-P04,HNC-V2_009-P02,motif,counterfactual_only,0.327648013830,0.328375875950,-0.000727862120,false
8,HNQ-V2_009,V2_009,id,bajo,HNC-V2_009-P04,HNC-V2_009-P03,orientation,counterfactual_only,0.327648013830,0.309929132462,0.017718881369,true
8,HNQ-V2_009,V2_009,id,bajo,HNC-V2_009-P04,HNC-V2_009-P05,symmetry,counterfactual_only,0.327648013830,0.321692526340,0.005955487490,true
9,HNQ-V2_010,V2_010,id,bajo,HNC-V2_010-P01,HNC-V2_010-P02,motif,counterfactual_only,0.356067389250,0.364347040653,-0.008279651403,false
9,HNQ-V2_010,V2_010,id,bajo,HNC-V2_010-P01,HNC-V2_010-P03,orientation,counterfactual_only,0.356067389250,0.342931658030,0.013135731220,true
9,HNQ-V2_010,V2_010,id,bajo,HNC-V2_010-P01,HNC-V2_010-P04,composition,counterfactual_only,0.356067389250,0.352649033070,0.003418356180,true
9,HNQ-V2_010,V2_010,id,bajo,HNC-V2_010-P01,HNC-V2_010-P05,palette_id,global_overlap,0.356067389250,0.270353496075,0.085713893175,true
10,HNQ-V2_011,V2_011,id,medio,HNC-V2_011-P04,HNC-V2_011-P01,composition,counterfactual_only,0.350548684597,0.335957288742,0.014591395855,true
10,HNQ-V2_011,V2_011,id,medio,HNC-V2_011-P04,HNC-V2_011-P02,symmetry,counterfactual_only,0.350548684597,0.351949870586,-0.001401185989,false
10,HNQ-V2_011,V2_011,id,medio,HNC-V2_011-P04,HNC-V2_011-P03,motif,counterfactual_only,0.350548684597,0.357849538326,-0.007300853729,false
10,HNQ-V2_011,V2_011,id,medio,HNC-V2_011-P04,HNC-V2_011-P05,orientation,counterfactual_only,0.350548684597,0.341874003410,0.008674681187,true
11,HNQ-V2_012,V2_012,id,medio,HNC-V2_012-P01,HNC-V2_012-P02,symmetry,counterfactual_only,0.356498926878,0.356307357550,0.000191569328,true
11,HNQ-V2_012,V2_012,id,medio,HNC-V2_012-P01,HNC-V2_012-P03,palette_id,global_overlap,0.356498926878,0.271203726530,0.085295200348,true
11,HNQ-V2_012,V2_012,id,medio,HNC-V2_012-P01,HNC-V2_012-P04,orientation,counterfactual_only,0.356498926878,0.355678409338,0.000820517540,true
11,HNQ-V2_012,V2_012,id,medio,HNC-V2_012-P01,HNC-V2_012-P05,composition,counterfactual_only,0.356498926878,0.350809961557,0.005688965321,true
12,HNQ-V2_013,V2_013,id,medio,HNC-V2_013-P03,HNC-V2_013-P01,palette_id,global_overlap,0.324513047934,0.226910129189,0.097602918744,true
12,HNQ-V2_013,V2_013,id,medio,HNC-V2_013-P03,HNC-V2_013-P02,motif,counterfactual_only,0.324513047934,0.321295797825,0.003217250109,true
12,HNQ-V2_013,V2_013,id,medio,HNC-V2_013-P03,HNC-V2_013-P04,composition,counterfactual_only,0.324513047934,0.318669646978,0.005843400955,true
