query_index,query_id,rank,candidate_id,candidate_position,text_row_index,score,is_positive,relevance_label,candidate_role,changed_attribute,negative_type,is_global_positive_text,is_negative_global_overlap
0,HNQ-V2_001,1,HNC-V2_001-P01,1,320,0.342061758041,false,0,hard_negative,motif,counterfactual_only,false,false
0,HNQ-V2_001,2,HNC-V2_001-P03,3,25,0.338100582361,false,0,hard_negative,orientation,global_overlap,true,true
0,HNQ-V2_001,3,HNC-V2_001-P02,2,0,0.337622284889,true,1,positive,,not_applicable,true,false
0,HNQ-V2_001,4,HNC-V2_001-P04,4,321,0.333545625210,false,0,hard_negative,composition,counterfactual_only,false,false
0,HNQ-V2_001,5,HNC-V2_001-P05,5,322,0.331341505051,false,0,hard_negative,symmetry,counterfactual_only,false,false
1,HNQ-V2_002,1,HNC-V2_002-P04,4,5,0.365009844303,true,1,positive,,not_applicable,true,false
1,HNQ-V2_002,2,HNC-V2_002-P01,1,30,0.364559739828,false,0,hard_negative,orientation,global_overlap,true,true
1,HNQ-V2_002,3,HNC-V2_002-P03,3,324,0.361652255058,false,0,hard_negative,symmetry,counterfactual_only,false,false
1,HNQ-V2_002,4,HNC-V2_002-P02,2,323,0.357358187437,false,0,hard_negative,composition,counterfactual_only,false,false
1,HNQ-V2_002,5,HNC-V2_002-P05,5,10,0.273289084435,false,0,hard_negative,palette_id,global_overlap,true,true
2,HNQ-V2_003,1,HNC-V2_003-P05,5,327,0.341003328562,false,0,hard_negative,motif,counterfactual_only,false,false
2,HNQ-V2_003,2,HNC-V2_003-P01,1,10,0.335728734732,true,1,positive,,not_applicable,true,false
2,HNQ-V2_003,3,HNC-V2_003-P03,3,326,0.329077571630,false,0,hard_negative,symmetry,counterfactual_only,false,false
2,HNQ-V2_003,4,HNC-V2_003-P02,2,325,0.327450931072,false,0,hard_negative,composition,counterfactual_only,false,false
2,HNQ-V2_003,5,HNC-V2_003-P04,4,15,0.199441611767,false,0,hard_negative,palette_id,global_overlap,true,true
3,HNQ-V2_004,1,HNC-V2_004-P04,4,329,0.318920314312,false,0,hard_negative,motif,counterfactual_only,false,false
3,HNQ-V2_004,2,HNC-V2_004-P05,5,40,0.316285490990,false,0,hard_negative,orientation,global_overlap,true,true
3,HNQ-V2_004,3,HNC-V2_004-P03,3,15,0.313583195210,true,1,positive,,not_applicable,true,false
3,HNQ-V2_004,4,HNC-V2_004-P01,1,328,0.308584123850,false,0,hard_negative,symmetry,counterfactual_only,false,false
3,HNQ-V2_004,5,HNC-V2_004-P02,2,20,0.201305955648,false,0,hard_negative,palette_id,global_overlap,true,true
4,HNQ-V2_005,1,HNC-V2_005-P02,2,330,0.364490240812,false,0,hard_negative,motif,counterfactual_only,false,false
4,HNQ-V2_005,2,HNC-V2_005-P05,5,20,0.353165864944,true,1,positive,,not_applicable,true,false
4,HNQ-V2_005,3,HNC-V2_005-P04,4,331,0.350895226002,false,0,hard_negative,composition,counterfactual_only,false,false
4,HNQ-V2_005,4,HNC-V2_005-P03,3,45,0.350616455078,false,0,hard_negative,orientation,global_overlap,true,true
4,HNQ-V2_005,5,HNC-V2_005-P01,1,150,0.272475302219,false,0,hard_negative,palette_id,global_overlap,true,true
5,HNQ-V2_006,1,HNC-V2_006-P03,3,25,0.351220697165,true,1,positive,,not_applicable,true,false
5,HNQ-V2_006,2,HNC-V2_006-P02,2,333,0.344506353140,false,0,hard_negative,composition,counterfactual_only,false,false
5,HNQ-V2_006,3,HNC-V2_006-P04,4,334,0.342948615551,false,0,hard_negative,symmetry,counterfactual_only,false,false
5,HNQ-V2_006,4,HNC-V2_006-P05,5,335,0.341214597225,false,0,hard_negative,motif,counterfactual_only,false,false
5,HNQ-V2_006,5,HNC-V2_006-P01,1,332,0.336569786072,false,0,hard_negative,orientation,counterfactual_only,false,false
6,HNQ-V2_007,1,HNC-V2_007-P05,5,30,0.357411265373,true,1,positive,,not_applicable,true,false
6,HNQ-V2_007,2,HNC-V2_007-P02,2,337,0.353600293398,false,0,hard_negative,symmetry,counterfactual_only,false,false
6,HNQ-V2_007,3,HNC-V2_007-P01,1,336,0.350085556507,false,0,hard_negative,composition,counterfactual_only,false,false
6,HNQ-V2_007,4,HNC-V2_007-P04,4,338,0.339079856873,false,0,hard_negative,orientation,counterfactual_only,false,false
6,HNQ-V2_007,5,HNC-V2_007-P03,3,35,0.264316380024,false,0,hard_negative,palette_id,global_overlap,true,true
7,HNQ-V2_008,1,HNC-V2_008-P04,4,340,0.357435762882,false,0,hard_negative,motif,counterfactual_only,false,false
7,HNQ-V2_008,2,HNC-V2_008-P02,2,35,0.356800109148,true,1,positive,,not_applicable,true,false
7,HNQ-V2_008,3,HNC-V2_008-P01,1,339,0.349534779787,false,0,hard_negative,symmetry,counterfactual_only,false,false
7,HNQ-V2_008,4,HNC-V2_008-P05,5,341,0.346107035875,false,0,hard_negative,composition,counterfactual_only,false,false
7,HNQ-V2_008,5,HNC-V2_008-P03,3,40,0.240525841713,false,0,hard_negative,palette_id,global_overlap,true,true
8,HNQ-V2_009,1,HNC-V2_009-P02,2,342,0.328375875950,false,0,hard_negative,motif,counterfactual_only,false,false
8,HNQ-V2_009,2,HNC-V2_009-P04,4,40,0.327648013830,true,1,positive,,not_applicable,true,false
8,HNQ-V2_009,3,HNC-V2_009-P05,5,344,0.321692526340,false,0,hard_negative,symmetry,counterfactual_only,false,false
8,HNQ-V2_009,4,HNC-V2_009-P03,3,343,0.309929132462,false,0,hard_negative,orientation,counterfactual_only,false,false
8,HNQ-V2_009,5,HNC-V2_009-P01,1,45,0.203769147396,false,0,hard_negative,palette_id,global_overlap,true,true
9,HNQ-V2_010,1,HNC-V2_010-P02,2,345,0.364347040653,false,0,hard_negative,motif,counterfactual_only,false,false
9,HNQ-V2_010,2,HNC-V2_010-P01,1,45,0.356067389250,true,1,positive,,not_applicable,true,false
9,HNQ-V2_010,3,HNC-V2_010-P04,4,347,0.352649033070,false,0,hard_negative,composition,counterfactual_only,false,false
9,HNQ-V2_010,4,HNC-V2_010-P03,3,346,0.342931658030,false,0,hard_negative,orientation,counterfactual_only,false,false
9,HNQ-V2_010,5,HNC-V2_010-P05,5,160,0.270353496075,false,0,hard_negative,palette_id,global_overlap,true,true
10,HNQ-V2_011,1,HNC-V2_011-P03,3,350,0.357849538326,false,0,hard_negative,motif,counterfactual_only,false,false
10,HNQ-V2_011,2,HNC-V2_011-P02,2,349,0.351949870586,false,0,hard_negative,symmetry,counterfactual_only,false,false
10,HNQ-V2_011,3,HNC-V2_011-P04,4,50,0.350548684597,true,1,positive,,not_applicable,true,false
10,HNQ-V2_011,4,HNC-V2_011-P05,5,351,0.341874003410,false,0,hard_negative,orientation,counterfactual_only,false,false
10,HNQ-V2_011,5,HNC-V2_011-P01,1,348,0.335957288742,false,0,hard_negative,composition,counterfactual_only,false,false
11,HNQ-V2_012,1,HNC-V2_012-P01,1,55,0.356498926878,true,1,positive,,not_applicable,true,false
11,HNQ-V2_012,2,HNC-V2_012-P02,2,352,0.356307357550,false,0,hard_negative,symmetry,counterfactual_only,false,false
11,HNQ-V2_012,3,HNC-V2_012-P04,4,353,0.355678409338,false,0,hard_negative,orientation,counterfactual_only,false,false
11,HNQ-V2_012,4,HNC-V2_012-P05,5,354,0.350809961557,false,0,hard_negative,composition,counterfactual_only,false,false
11,HNQ-V2_012,5,HNC-V2_012-P03,3,60,0.271203726530,false,0,hard_negative,palette_id,global_overlap,true,true
12,HNQ-V2_013,1,HNC-V2_013-P05,5,357,0.326865971088,false,0,hard_negative,symmetry,counterfactual_only,false,false
12,HNQ-V2_013,2,HNC-V2_013-P03,3,60,0.324513047934,true,1,positive,,not_applicable,true,false
12,HNQ-V2_013,3,HNC-V2_013-P02,2,355,0.321295797825,false,0,hard_negative,motif,counterfactual_only,false,false
12,HNQ-V2_013,4,HNC-V2_013-P04,4,356,0.318669646978,false,0,hard_negative,composition,counterfactual_only,false,false
12,HNQ-V2_013,5,HNC-V2_013-P01,1,65,0.226910129189,false,0,hard_negative,palette_id,global_overlap,true,true
13,HNQ-V2_014,1,HNC-V2_014-P05,5,65,0.332291722298,true,1,positive,,not_applicable,true,false
13,HNQ-V2_014,2,HNC-V2_014-P03,3,360,0.331165790558,false,0,hard_negative,symmetry,counterfactual_only,false,false
13,HNQ-V2_014,3,HNC-V2_014-P01,1,358,0.330994755030,false,0,hard_negative,motif,counterfactual_only,false,false
13,HNQ-V2_014,4,HNC-V2_014-P02,2,359,0.321459710598,false,0,hard_negative,orientation,counterfactual_only,false,false
13,HNQ-V2_014,5,HNC-V2_014-P04,4,70,0.228990048170,false,0,hard_negative,palette_id,global_overlap,true,true
14,HNQ-V2_015,1,HNC-V2_015-P02,2,70,0.372624814510,true,1,positive,,not_applicable,true,false
14,HNQ-V2_015,2,HNC-V2_015-P05,5,363,0.370604395866,false,0,hard_negative,motif,counterfactual_only,false,false
14,HNQ-V2_015,3,HNC-V2_015-P01,1,361,0.368675321341,false,0,hard_negative,orientation,counterfactual_only,false,false
14,HNQ-V2_015,4,HNC-V2_015-P03,3,362,0.363418221474,false,0,hard_negative,composition,counterfactual_only,false,false
14,HNQ-V2_015,5,HNC-V2_015-P04,4,170,0.265918910503,false,0,hard_negative,palette_id,global_overlap,true,true
15,HNQ-V2_016,1,HNC-V2_016-P05,5,75,0.324525892735,true,1,positive,,not_applicable,true,false
15,HNQ-V2_016,2,HNC-V2_016-P02,2,365,0.319204837084,false,0,hard_negative,motif,counterfactual_only,false,false
15,HNQ-V2_016,3,HNC-V2_016-P01,1,364,0.318345844746,false,0,hard_negative,symmetry,counterfactual_only,false,false
15,HNQ-V2_016,4,HNC-V2_016-P03,3,366,0.313372939825,false,0,hard_negative,orientation,counterfactual_only,false,false
15,HNQ-V2_016,5,HNC-V2_016-P04,4,367,0.311645299196,false,0,hard_negative,composition,counterfactual_only,false,false
16,HNQ-V2_017,1,HNC-V2_017-P05,5,370,0.293549120426,false,0,hard_negative,symmetry,counterfactual_only,false,false
16,HNQ-V2_017,2,HNC-V2_017-P02,2,80,0.290414303541,true,1,positive,,not_applicable,true,false
16,HNQ-V2_017,3,HNC-V2_017-P04,4,369,0.288955301046,false,0,hard_negative,composition,counterfactual_only,false,false
