condition,query_index,caption_id,rank,image_row_index,image_id,score,is_relevant,image_split,image_pattern_id,image_palette_id
random,0,CAP-V2_001-TPL_01,1,2,V2_003,0.998523855175,false,id,bands_horizontal,ocre_marron_negro
random,0,CAP-V2_001-TPL_01,2,22,V2_023,0.985758598887,false,id,grid_reticular,ocre_marron_negro
random,0,CAP-V2_001-TPL_01,3,19,V2_020,0.933751807409,false,id,grecas_modular,multicolor_tierra
random,0,CAP-V2_001-TPL_01,4,9,V2_010,0.924774543642,false,id,bands_vertical,multicolor_tierra
random,0,CAP-V2_001-TPL_01,5,16,V2_017,0.909339910392,false,id,grecas_modular,azul_crema_marron
random,0,CAP-V2_001-TPL_01,6,5,V2_006,0.905882118283,false,id,bands_vertical,rojo_negro_crema
random,0,CAP-V2_001-TPL_01,7,18,V2_019,0.905525160336,false,id,grecas_modular,blanco_negro_gris
random,0,CAP-V2_001-TPL_01,8,20,V2_021,0.873812637028,false,id,grid_reticular,rojo_negro_crema
random,0,CAP-V2_001-TPL_01,9,35,V2_036,0.868704888487,false,ood_palette,diamonds_central,morado_gris_rosa
random,0,CAP-V2_001-TPL_01,10,31,V2_032,0.864193723465,false,ood_palette,bands_horizontal,morado_gris_rosa
random,0,CAP-V2_001-TPL_01,11,17,V2_018,0.854106718810,false,id,grecas_modular,ocre_marron_negro
random,0,CAP-V2_001-TPL_01,12,32,V2_033,0.846479437546,false,ood_palette,bands_vertical,verde_ocre_crema
random,0,CAP-V2_001-TPL_01,13,39,V2_040,0.824566714045,false,ood_palette,grid_reticular,morado_gris_rosa
random,0,CAP-V2_001-TPL_01,14,30,V2_031,0.757991043984,false,ood_palette,bands_horizontal,verde_ocre_crema
random,0,CAP-V2_001-TPL_01,15,37,V2_038,0.744807761441,false,ood_palette,grecas_modular,morado_gris_rosa
random,0,CAP-V2_001-TPL_01,16,7,V2_008,0.730199583144,false,id,bands_vertical,ocre_marron_negro
random,0,CAP-V2_001-TPL_01,17,43,V2_044,0.678012525845,false,ood_pattern,chevrons_diagonal,azul_crema_marron
random,0,CAP-V2_001-TPL_01,18,4,V2_005,0.656691647073,false,id,bands_horizontal,multicolor_tierra
random,0,CAP-V2_001-TPL_01,19,24,V2_025,0.650293252094,false,id,grid_reticular,multicolor_tierra
random,0,CAP-V2_001-TPL_01,20,27,V2_028,0.634305434079,false,id,mixed_asymmetric,ocre_marron_negro
random,0,CAP-V2_001-TPL_01,21,50,V2_051,0.619168614338,false,ood_pattern,circles_concentric,blanco_negro_gris
random,0,CAP-V2_001-TPL_01,22,0,V2_001,0.602528611399,true,id,bands_horizontal,rojo_negro_crema
