query_id,query_index,image_id,semantic_id,structure_id,pattern_id,palette_id,motif,orientation,composition,symmetry,ambiguity_level,split,image_path,template_id,omitted_attribute,positive_position,positive_candidate_id,positive_caption_id,positive_caption_text,candidate_ids,candidate_count,negative_count,global_overlap_negative_count,nonoverlap_negative_count
HNQ-V2_001,0,V2_001,SEM-726372BFFF43534D,STR-A3FE31524DCA0243,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,bajo,id,data/v2/images/V2_001.png,TPL_01,palette_id,2,HNC-V2_001-P02,CAP-V2_001-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo oscuro, negro y crema; con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.",HNC-V2_001-P01|HNC-V2_001-P02|HNC-V2_001-P03|HNC-V2_001-P04|HNC-V2_001-P05,5,4,1,3
HNQ-V2_002,1,V2_002,SEM-5B84448A62787787,STR-A3FE31524DCA0243,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,bajo,id,data/v2/images/V2_002.png,TPL_01,motif,4,HNC-V2_002-P04,CAP-V2_002-TPL_01,"Patr?n geom?trico sint?tico con paleta azul profundo, crema y marrón; con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.",HNC-V2_002-P01|HNC-V2_002-P02|HNC-V2_002-P03|HNC-V2_002-P04|HNC-V2_002-P05,5,4,2,2
HNQ-V2_003,2,V2_003,SEM-7418F4CCBDB8F621,STR-A3FE31524DCA0243,bands_horizontal,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,bajo,id,data/v2/images/V2_003.png,TPL_01,orientation,1,HNC-V2_003-P01,CAP-V2_003-TPL_01,"Patr?n geom?trico sint?tico con paleta ocre, marrón y negro; con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.",HNC-V2_003-P01|HNC-V2_003-P02|HNC-V2_003-P03|HNC-V2_003-P04|HNC-V2_003-P05,5,4,1,3
HNQ-V2_004,3,V2_004,SEM-7CE10D3F8F559237,STR-A3FE31524DCA0243,bands_horizontal,blanco_negro_gris,bandas geométricas,horizontal,bandas,repetitiva,bajo,id,data/v2/images/V2_004.png,TPL_01,composition,3,HNC-V2_004-P03,CAP-V2_004-TPL_01,"Patr?n geom?trico sint?tico con paleta blanco, negro y gris; con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.",HNC-V2_004-P01|HNC-V2_004-P02|HNC-V2_004-P03|HNC-V2_004-P04|HNC-V2_004-P05,5,4,2,2
HNQ-V2_005,4,V2_005,SEM-CA5D6EBFCD7B84E3,STR-A3FE31524DCA0243,bands_horizontal,multicolor_tierra,bandas geométricas,horizontal,bandas,repetitiva,bajo,id,data/v2/images/V2_005.png,TPL_01,symmetry,5,HNC-V2_005-P05,CAP-V2_005-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo tierra, ocre, verde oscuro y azul profundo; con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.",HNC-V2_005-P01|HNC-V2_005-P02|HNC-V2_005-P03|HNC-V2_005-P04|HNC-V2_005-P05,5,4,2,2
HNQ-V2_006,5,V2_006,SEM-4699702E8A447735,STR-390DD4719A974C7E,bands_vertical,rojo_negro_crema,bandas geométricas,vertical,bandas,repetitiva,bajo,id,data/v2/images/V2_006.png,TPL_01,palette_id,3,HNC-V2_006-P03,CAP-V2_006-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo oscuro, negro y crema; con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.",HNC-V2_006-P01|HNC-V2_006-P02|HNC-V2_006-P03|HNC-V2_006-P04|HNC-V2_006-P05,5,4,0,4
HNQ-V2_007,6,V2_007,SEM-657EAE79EA891854,STR-390DD4719A974C7E,bands_vertical,azul_crema_marron,bandas geométricas,vertical,bandas,repetitiva,bajo,id,data/v2/images/V2_007.png,TPL_01,motif,5,HNC-V2_007-P05,CAP-V2_007-TPL_01,"Patr?n geom?trico sint?tico con paleta azul profundo, crema y marrón; con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.",HNC-V2_007-P01|HNC-V2_007-P02|HNC-V2_007-P03|HNC-V2_007-P04|HNC-V2_007-P05,5,4,1,3
HNQ-V2_008,7,V2_008,SEM-F49183E2AB7334C9,STR-390DD4719A974C7E,bands_vertical,ocre_marron_negro,bandas geométricas,vertical,bandas,repetitiva,bajo,id,data/v2/images/V2_008.png,TPL_01,orientation,2,HNC-V2_008-P02,CAP-V2_008-TPL_01,"Patr?n geom?trico sint?tico con paleta ocre, marrón y negro; con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.",HNC-V2_008-P01|HNC-V2_008-P02|HNC-V2_008-P03|HNC-V2_008-P04|HNC-V2_008-P05,5,4,1,3
HNQ-V2_009,8,V2_009,SEM-0EFA93DD8D5CE9AD,STR-390DD4719A974C7E,bands_vertical,blanco_negro_gris,bandas geométricas,vertical,bandas,repetitiva,bajo,id,data/v2/images/V2_009.png,TPL_01,composition,4,HNC-V2_009-P04,CAP-V2_009-TPL_01,"Patr?n geom?trico sint?tico con paleta blanco, negro y gris; con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.",HNC-V2_009-P01|HNC-V2_009-P02|HNC-V2_009-P03|HNC-V2_009-P04|HNC-V2_009-P05,5,4,1,3
HNQ-V2_010,9,V2_010,SEM-7E4D8819AF0D376B,STR-390DD4719A974C7E,bands_vertical,multicolor_tierra,bandas geométricas,vertical,bandas,repetitiva,bajo,id,data/v2/images/V2_010.png,TPL_01,symmetry,1,HNC-V2_010-P01,CAP-V2_010-TPL_01,"Patr?n geom?trico sint?tico con paleta rojo tierra, ocre, verde oscuro y azul profundo; con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.",HNC-V2_010-P01|HNC-V2_010-P02|HNC-V2_010-P03|HNC-V2_010-P04|HNC-V2_010-P05,5,4,1,3
